,PostalCode,Neighbourhood_x,Latitude_x,Longitude_x,Neighbourhood_y,Latitude_y,Longitude_y
0,T2P,"City Centre, Calgary Tower",51.071,-113.693,City Centre / Calgary Tower,51.0472,-114.0802
1,T3M,Cranston,50.88,-113.955,Cranston,50.8902,-113.9892
2,T3N,Northeast,51.163,-113.954," latitude, longitude, map and postcode / zip code of Calgary Northeast T3N in Canada</title>",51.1494,-114.0019
3,T3R,Northwest,51.202,-114.245," latitude, longitude, map and postcode / zip code of Calgary Northwest T3R in Canada</title>",51.1497,-114.2695
4,T1Y,"Rundle, Whitehorn, Monterey Park",51.082,-113.958,Rundle / Whitehorn / Monterey Park,51.0759,-114.0015
5,T2E,"Bridgeland, Greenview, Zoo, YYC",51.088,-114.021,Bridgeland / Greenview / Zoo / YYC,51.0632,-114.0614
6,T2H,"Highfield, Burns Industrial",50.989,-114.052,Highfield / Burns Industrial,50.9857,-114.0631
7,T2K,"Thornecliffe, Tuxedo",51.111,-114.048,Thornecliffe / Tuxedo,51.0857,-114.0714
8,T2L,"Brentwood, Collingwood, Nose Hill",51.105,-114.115,Brentwood / Collingwood / Nose Hill,51.0917,-114.1127
9,T2N,"Kensington, Westmont, Parkdale, University",51.062,-114.116,Kensington / Westmont / Parkdale / Univer T2N in Canada</title>,51.0591,-114.1146
10,T2R,"Connaught, West Victoria Park",51.041,-114.076,Connaught / West Victoria Park,51.0426,-114.0791
11,T2T,"Altadore, Bankview, Richmond",51.024,-114.1,Altadore / Bankview / Richmond,51.0316,-114.0994
12,T2W,"Braeside, Woodbine",50.951,-114.359,Braeside / Woodbine,50.9604,-114.1001
13,T2X,"Midnapore, Sundance",50.884,-114.033,Midnapore / Sundance,50.9204,-114.0674
14,T2Y,"Millrise, Somerset, Bridlewood, Evergreen",50.909,-114.103,Millrise / Somerset / Bridlewood / Evergr T2Y in Canada</title>,50.9093,-114.0721
15,T3C,"Rosscarrock, Wildwood, Shaganappi, Sunalta",51.05,-114.139,Rosscarrock / Wildwood / Shaganappi / Sun T3C in Canada</title>,51.0388,-114.098
16,T3E,"Lakeview, Glendale, Killarney, Glamorgan",50.99,-114.157,Lakeview / Glendale / Killarney / Glamorg T3E in Canada</title>,51.0227,-114.1342
17,T3L,"Tuscany, Scenic Acres",51.147,-114.313,Tuscany / Scenic Acres,51.1162,-114.2089
18,T3P,Symons Valley,51.207,-114.135,Symons Valley,51.1793,-114.1333
19,T2M,"Mount Pleasant, Capitol Hill, Banff Trail",51.133,-113.856,Mount Pleasant / Capitol Hill / Banff Tra T2M in Canada</title>,51.0696,-114.0862
20,T2S,"Elbow Park, Britannia, Parkhill, Mission",51.023,-114.071,Elbow Park / Britannia / Parkhill / Missi T2S in Canada</title>,51.0171,-114.0812
21,T2V,"Oak Ridge, Haysboro, Kingsland, Windsor Park",50.982,-114.1,Oak Ridge / Haysboro / Kingsland / Windso T2V in Canada</title>,50.9909,-114.074
22,T3J,"Martindale, Taradale, Falconridge, Saddle Ridge",51.119,-113.947,Martindale / Taradale / Falconridge / Sad T3J in Canada</title>,51.0999,-113.9422
23,T2C,"Lynnwood Ridge, Ogden, Foothills Industrial, Great Plains",50.987,-113.963,Lynnwood Ridge / Ogden / Foothills Indust T2C in Canada</title>,50.9878,-114.0001
24,T2G,"Inglewood, Burnsland, Chinatown, East Victoria Park, Saddledome",51.027,-114.035,Inglewood / Burnsland / Chinatown / East  T2G in Canada</title>,51.0415,-114.0599
25,T2Z,"Douglas Glen, McKenzie Lake, Copperfield, East Shepard",50.928,-113.968,Douglas Glen / McKenzie Lake / Copperfiel T2Z in Canada</title>,50.9023,-113.9873
26,T3G,"Hawkwood, Arbour Lake, Royal Oak, Rocky Ridge",51.139,-114.201,Hawkwood / Arbour Lake / Royal Oak / Rock T3G in Canada</title>,51.1147,-114.1796
27,T3H,"Discovery Ridge, Signal Hill, Aspen Woods, Patterson, Cougar Ridge",51.042,-114.2,Discovery Ridge / Signal Hill / Aspen Woo T3H in Canada</title>,51.0566,-114.1815
28,T3K,"Sandstone, Harvest Hills, Coventry Hills, Panorama Hills, Beddington",51.156,-114.057,Sandstone / Harvest Hills / Coventry Hill T3K in Canada</title>,51.127,-114.0787
29,T3S,Southeast,50.915,-113.893,,,
30,T2J,"Queensland Downs, Lake Bonavista, Willow Park, Acadia",50.848,-114.196,Queensland Downs / Lake Bonavista / Willo T2J in Canada</title>,50.9693,-114.0514
31,T2A,"Penbrooke Meadows, Marlborough",51.049,-113.956,Penbrooke Meadows / Marlborough,51.0402,-113.9844
32,T2B,"Forest Lawn, Dover, Erin Woods",51.021,-113.981,Forest Lawn / Dover / Erin Woods,51.0318,-113.9786
33,T3A,"Dalhousie, Edgemont, Hamptons, Hidden Valley",51.126,-114.142,Dalhousie / Edgemont / Hamptons / Hidden  T3A in Canada</title>,51.0922,-114.1479
34,T3B,"Montgomery, Bowness, Silver Springs, Greenwood",51.091,-114.207,Montgomery / Bowness / Silver Springs / G T3B in Canada</title>,51.0809,-114.1616
