PostalCode,AvgHomePrice
T3R,"457,524"
T3P,"447,255"
T3L,"637,861"
T3G,"514,481"
T3A,"558,223"
T3K,"392,378"
T3N,"366,657"
T3J,"416,663"
T1Y,"357,344"
T2A,"311,762"
T2C,"348,115"
T3S,"346,000"
T2K,"374,480"
T2E,"479,723"
T2B,"317,460"
T2Z,"418,808"
T3M,"557,465"
T2L,"598,353"
T2M,"781,133"
T2P,"372,908"
T2G,"346,253"
T2H,"354,175"
T2J,"518,571"
T3B,"495,724"
T2N,"783,712"
T2R,"443,192"
T2S,"980,839"
T3C,"586,350"
T3H,"639,011"
T3E,"599,936"
T2V,"619,389"
T2W,"419,454"
T2Y,"394,299"
T2X,"423,851"
T2T,"894,850"
