CommunityName,FSA,Population,Area
Abbeydale,T2A,"5,917",1.7
Acadia,T2J,"10,705",3.9
Albert Park/Radisson Heights,T2A,"6,234",2.5
Altadore,T2T,"9,116",2.9
Applewood Park,T2A,"6,498",1.6
Arbour Lake,T3G,"10,836",4.4
Aspen Woods,T3H,"5,271",3.8
Auburn Bay,T3M,"7,193",4.5
Banff Trail,T2M,"3,837",1.5
Bankview,T2T,"5,221",0.7
Bayview,T2V,682,0.4
Beddington Heights,T3K,"11,585",3.2
Bel-Aire,T2V,424,0.3
Beltline,T2T,"19,681",2.9
Bonavista Downs,T2J,925,0.5
Bowness,T3B,"11,012",5.6
Braeside,T2W,"5,940",2
Brentwood,T2L,"6,059",2.9
Bridgeland/Riverside,T2E,"5,594",3.1
Bridlewood,T2Y,"11,835",3.2
Britannia,T2S,803,0.5
Cambrian Heights,T2K,"2,059",0.9
Canyon Meadows,T2W,"7,787",3.1
Capitol Hill,T2M,"4,015",1.4
Castleridge,T3J,"6,096",1.2
Cedarbrae,T2W,"6,237",2.1
CFB Currie,T3E,172,1.1
CFB Lincoln Park PMQ,T3E,"1,973",0.4
Chaparral,T2X,"11,552",5.4
Charleswood,T2L,"3,421",1.8
Chinatown,T2G,"1,577",0.2
Chinook Park,T2V,"1,707",0.6
Christie Park,T3H,"2,196",0.8
Citadel,T2S,"10,197",2.7
Cliff Bungalow,T2S,"1,936",0.4
Coach Hill,T3H,"3,279",1.1
Collingwood,T2K,"2,222",1.6
Copperfield,T2Z,"7,834",4.4
Coral Springs,T3J,"5,868",1.8
Cougar Ridge,T3H,"5,874",2.2
Country Hills,T3K,"3,728",1.9
Country Hills Village,T3K,"2,615",1
Coventry Hills,T3K,"15,969",4.1
Cranston,T3M,"11,857",8.3
Crescent Heights,T2E,"6,271",1.6
Crestmont,T3B,"1,454",0.6
Dalhousie,T3A,"9,085",3.3
Deer Ridge,T2J,"4,084",1.4
Deer Run,T2J,"5,341",1.9
Diamond Cove,T2J,699,0.5
Discovery Ridge,T3H,"4,350",3.6
Douglasdale/Glen,T2Z,"11,890",6.4
Dover,T2B,"10,474",4.2
Downtown Commercial Core,T2P,"8,015",1.3
Downtown East Village,T2G,"2,782",0.5
Downtown West End,T2P,"2,322",0.4
Eagle Ridge,T2V,415,0.4
Eau Claire,T2P,"1,851",0.5
Edgemont,T3A,"15,898",6.6
Elbow Park,T2S,"3,377",1.8
Elboya,T2G,"1,712",0.7
Erin Woods,T2B,"6,901",1.6
Erlton,T2G,"1,234",0.5
Evanston,T3P,"6,594",4.9
Evergreen,T2Y,"20,110",4.6
Fairview,T2H,"3,623",1.3
Falconridge,T3J,"10,381",2.2
Forest Heights,T2A,"6,212",1.5
Forest Lawn,T2A,"7,487",2.3
Glamorgan,T3E,"6,376",2
Glenbrook,T3E,"7,056",1.9
Glendale,T3E,"2,749",1.4
Greenview,T2K,"1,975",0.5
Greenwood/Greenbriar,T3B,946,1.2
Hamptons,T3A,"7,905",3.5
Harvest Hills,T3K,"7,402",2.2
Hawkwood,T3G,"9,831",3.2
Haysboro,T2V,"6,943",2.7
Hidden Valley,T3A,"11,799",4.3
Highland Park,T2E,"3,792",1.4
Highwood,T2K,"2,214",0.9
Hillhurst,T2N,"6,291",2.1
Hounsfield Heights/Briar Hill,T2M,"2,954",1.2
Huntington Hills,T2K,"13,213",4.8
Inglewood,T2G,"3,564",2.5
Kelvin Grove,T2V,"2,343",0.8
Killarney/Glengarry,T3E,"6,816",1.8
Kincora,T3R,"4,876",2.3
Kingsland,T2V,"4,513",1.3
Lake Bonavista,T2J,"10,475",5.2
Lakeview,T3E,"5,468",2.2
Legacy,T2X,0,6.1
Lincoln Park,T3E,"2,505",1.5
Lower Mount Royal,T2T,"3,180",0.3
MacEwan Glen,T3K,"5,100",1.4
Mahogany,T3S,"1,266",6.4
Manchester,T2G,618,0.5
Maple Ridge,T2J,"1,910",2.8
Marlborough,T2A,"8,434",2.7
Marlborough Park,T2A,"8,391",2.5
Martindale,T3J,"13,674",2.7
Mayfair,T2V,481,0.3
Mayland Heights,T2E,"5,833",2
McKenzie Lake,T2Z,"14,050",5.1
McKenzie Towne,T2Z,"16,102",4.8
Meadowlark Park,T2V,623,0.6
Midnapore,T2X,"6,861",2.9
Millrise,T2Y,"6,892",1.8
Mission,T2S,"4,325",0.5
Monterey Park,T1Y,"10,470",3.4
Montgomery,T3B,"3,860",3
Mount Pleasant,T2M,"4,851",1.9
New Brighton,T2Z,"8,303",2.9
Nolan Hill,T3R,0,2.1
North Glenmore Park,T3E,"2,386",1.2
North Haven,T2K,"2,288",0.8
North Haven Upper,T3K,622,0.3
Oakridge,T2V,"5,651",2.4
Ogden,T2C,"8,702",4.1
Palliser,T2V,"3,293",1
Panorama Hills,T3K,"22,247",6.3
Parkdale,T2N,"2,296",1.1
Parkhill,T2S,"1,592",0.7
Parkland,T2J,"3,785",1.8
Patterson,T3H,"4,281",2
Penbrooke Meadows,T2A,"8,547",2
Pineridge,T1Y,"9,644",2.6
Point Mckay,T3B,"1,318",0.4
Pump Hill,T2V,"1,614",0.9
Queens Park Village,T2M,415,0.6
Queensland,T2J,"4,771",1.6
Ramsay,T2G,"2,110",1
Ranchlands,T3G,"7,626",2.3
Red Carpet,T2A,"1,555",0.6
Redstone,T3N,0,1.9
Renfrew,T2E,"5,846",2.7
Richmond,T2T,"4,229",1.8
Rideau Park,T2S,636,0.3
Riverbend,T2C,"9,684",4.1
Rocky Ridge,T3G,"7,662",2.8
Rosedale,T2M,"1,569",0.7
Rosemont,T2K,"1,241",0.5
Rosscarrock,T3C,"3,356",1.1
Roxboro,T2S,421,0.3
Royal Oak,T3G,"11,252",3.6
Rundle,T1Y,"11,258",2.6
Rutland Park,T3E,"2,227",0.7
Saddle Ridge,T3J,"14,372",5.5
Sage Hill,T3R,"2,189",3.8
Sandstone Valley,T3K,"6,253",1.8
Scarboro,T3C,880,0.5
Scarboro/Sunalta West,T3C,410,0.4
Scenic Acres,T3L,"8,650",4.3
Seton,T3M,0,1.7
Shaganappi,T3C,"1,553",1.5
Shawnee Slopes,T2Y,"1,565",1.2
Shawnessy,T2Y,"9,385",3.7
Sherwood,T3R,"2,523",2.4
Signal Hill,T3H,"13,914",5.6
Silver Springs,T3B,"8,933",5
Silverado,T2X,"5,136",5.1
Skyview Ranch,T3N,"2,990",4.6
Somerset,T2Y,"8,540",2.3
South Calgary,T2T,"3,698",0.9
Southview,T2B,"1,900",1.6
Southwood,T2W,"6,085",2.7
Springbank Hill,T3H,"8,783",6.3
Spruce Cliff,T3C,"4,285",1.1
St. Andrews Heights,T2N,"1,588",1.2
Strathcona Park,T3H,"7,033",2.7
Sunalta,T3C,"3,314",0.9
Sundance,T2X,"10,499",4
Sunnyside,T2N,"3,704",1
Taradale,T3J,"16,841",2.9
Temple,T1Y,"10,894",2.6
Thorncliffe,T2K,"8,693",3.3
Tuscany,T3L,"19,013",6.9
Tuxedo Park,T2E,"4,571",1.3
University Heights,T2N,"2,928",0.8
University of Calgary,T2N,"2,725",2.7
Upper Mount Royal,T2T,"2,542",1.3
Valley Ridge,T3B,"5,013",3.3
Varsity,T3A,"12,200",6.8
Vista Heights,T2E,"2,204",1.1
Walden,T2X,935,2.4
West Hillhurst,T2N,"5,802",2.4
West Springs,T3H,"8,228",4.1
Westgate,T3C,"3,172",1.2
Whitehorn,T1Y,"11,852",2.6
Wildwood,T3C,"2,598",2.6
Willow Park,T2J,"5,229",3.4
Windsor Park,T2V,"4,126",1.3
Winston Heights/Mountview,T2E,"3,891",3
Woodbine,T2W,"9,131",3.2
Woodlands,T2W,"6,201",2.8
