FSA,School,Rating
T2P,,
T3M,Christ the King,7.7
T3M,Our Lady of the Rosary,7.4
T3M,Prince of Peace,7.4
T3N,Apostles of Jesus,6.9
T3R,Bearspaw Christian,8.4
T3R,Renert,10
T1Y,Almadina,6.5
T1Y,Annie Foote,6.5
T1Y,Calgary Islamic,5.2
T1Y,Cecil Swanson,2
T1Y,Chief Justice Milvain,5.2
T1Y,Colonel J. Fred Scott,2.5
T1Y,Douglas Harkness,4.7
T1Y,Father Scollen,7.1
T1Y,Guy Weadick,4.3
T1Y,Monterey Park,5.3
T1Y,Pineridge,4.1
T1Y,Rundle,4.3
T1Y,St. Patrick,5.7
T1Y,St. Rose of Lima,7.7
T1Y,St. Rupert,4.2
T1Y,St. Thomas More,7.5
T1Y,St. Wilfrid,6.2
T2E,Belfast,4.7
T2E,Buchanan,5
T2E,Delta West,9
T2E,Heritage Christian,7.5
T2E,Langevin,6.4
T2E,Mayland Heights,7.3
T2E,Mount View,6.6
T2E,St. Alphonsus,6.8
T2E,St. Angela,6.1
T2E,Stanley Jones,5.7
T2E,Vista Heights,1.3
T2H,Elbow Park,8
T2H,Foundations for the Future (FFCA),8.3
T2H,St. Matthew,7
T2K,Alex Munro,5.2
T2K,Cambrian Heights,8.1
T2K,Catherine Nichols Gunn,4.1
T2K,Corpus Christi,6.8
T2K,Huntington Hills,4.5
T2K,North Haven,6
T2K,Rosemont,7.7
T2K,St. Henry,5.5
T2K,St. Hubert,7.4
T2K,Thorncliffe,6
T2L,Captain John Palliser,7.6
T2L,Dr. E. W. Coffin,8.4
T2L,St. Luke,7.7
T2L,St. Margaret,6.9
T2N,Briar Hill,9.2
T2N,Foothills,5.3
T2N,Hillhurst,8.7
T2N,Queen Elizabeth,7
T2N,Sunnyside,6.5
T2N,University,6.1
T2N,Westmount,8.9
T2R,Connaught,6.5
T2T,Altadore,6.8
T2T,Earl Grey,8.5
T2T,Elbow Park,8
T2T,Louis Pasteur,8.9
T2T,Master's,10
T2T,Richmond,5
T2W,Braeside,4.2
T2W,Cedarbrae,5.1
T2W,Ethel M. Johnson,4.8
T2W,St. Catherine,6.9
T2W,St. Cyril,4.5
T2W,St. Jude,6.9
T2W,St. Stephen,3.8
T2W,Woodbine,8.1
T2W,Woodlands,7.7
T2X,Chaparral,7.7
T2X,Father James Whelihan,7.3
T2X,Fish Creek,8.6
T2X,Holy Child,6.7
T2X,Midnapore,6.6
T2X,Mother Teresa of Calcutta,7.1
T2X,St. Sebastian,7.8
T2X,Sundance,6
T2X,Trinity Christian,8.4
T2Y,Bridlewood,7.1
T2Y,Father Doucet,8.5
T2Y,Monsignor J. J. O'Brien,6.9
T2Y,Our Lady of Peace,8.5
T2Y,Our Lady of the Evergreens,7.3
T3C,Alex Ferguson,8.5
T3C,Rosscarrock,3.4
T3C,Sacred Heart,5.9
T3C,St. Michael,3.9
T3C,Sunalta,9.6
T3C,Westgate,8.5
T3C,Wildwood,7
T3E,Calgary Christian,8.2
T3E,Clear Water,9.4
T3E,Glamorgan,8
T3E,Glenbrook,3.2
T3E,Glendale,5.4
T3E,Holy Name,8.8
T3E,Jennie Elliott,9.1
T3E,Killarney,7.2
T3E,Sainte Marguerite Bourgeoys,7.1
T3E,St. Andrew,5.9
T3E,St. James,6.5
T3L,Bearspaw,7.1
T3L,du Nouveau-Monde,7.3
T3L,Monsignor E. L. Doyle,8.3
T3L,St. Basil,7.4
T3P,Our Lady of Grace,6.8
T2M,Banff Trail,6.8
T2M,Capitol Hill,7.8
T2M,Khalsa,8.4
T2M,King George,6.8
T2M,Rosedale,7.1
T2M,St. Joseph,7.4
T2M,St. Pius X,6.7
T2S,Elboya,7.3
T2S,Rideau Park,8.5
T2S,St. Monica,6.7
T2V,Calgary Jewish,8.3
T2V,Chinook Park,5.4
T2V,Haysboro,6.6
T2V,Louis Riel,8.6
T2V,St. Augustine,6.4
T2V,St. Benedict,6.7
T2V,St. Gerard,8.3
T3J,Crossing Park,4.8
T3J,Falconridge,3.3
T3J,Grant MacEwan,4.5
T3J,John Paul II,4.6
T3J,John XXIII,4.2
T3J,La Mosaïque,2.7
T3J,Light of Christ,5.9
T3J,Monsignor A. J. Hetherington,7.9
T3J,O. S. Geiger,3.2
T3J,Our Lady of Fatima,6.7
T2C,Holy Angels,6.8
T2C,Riverbend,6.6
T2C,St. Bernadette,6.2
T2G,Calgary Arts,6.4
T2G,Piitoayis Family,0
T2Z,Cardinal Newman,7.7
T2Z,Monsignor J. S. Smith,7.3
T2Z,St. Albert the Great,6.5
T2Z,St. Isabella,6.7
T2Z,St. Marguerite,6.2
T3G,Hawkwood,5.5
T3G,Ranchlands,5.6
T3G,St. Ambrose,7.9
T3G,St. Brigid,8.2
T3G,St. Maria Goretti,8
T3G,St. Rita,2
T3H,Battalion Park,7.6
T3H,Calgary Academy,5.9
T3H,Calgary French & International,9.5
T3H,Calgary Waldorf,7.2
T3H,Griffith Woods,7.5
T3H,Guardian Angel,8.4
T3H,John Costello,7.7
T3H,Menno Simons Christian,7.9
T3H,Olympic Heights,7.7
T3H,Rundle College,9.5
T3H,St. Joan of Arc,9.3
T3H,Webber,9.9
T3K,Ascension of Our Lord,4.6
T3K,Beddington Heights,6.4
T3K,Monsignor Neville Anderson,5.1
T3K,Simons Valley,6.9
T3K,St. Bede,5.5
T3K,St. Clare,6.8
T3K,St. Jerome,7.8
T3S,,
T2J,de la Source,5.6
T2J,Deer Run,5.6
T2J,Don Bosco,6.3
T2J,Haultain Memorial,4.9
T2J,Lake Bonavista,7.9
T2J,Notre-Dame de la Paix,7.7
T2J,Prince of Wales,6.5
T2J,St. Boniface,8.5
T2J,St. Cecilia,6.3
T2J,St. Philip,7.7
T2J,St. William,7.3
T2A,Blessed Kateri Tekakwitha,5.9
T2A,"Calgary Islamic, OBK",7.4
T2A,Holy Family,6.5
T2A,Holy Trinity,6.6
T2A,St. Mark,3.2
T2A,St. Martha,5.6
T2A,St. Peter,5.1
T2B,Blessed Damien,5
T2B,Holy Cross,4.9
T3A,Marion Carson,6.6
T3A,Mother Mary Greene,8.4
T3A,St. Dominic,7.5
T3A,St. Elizabeth Seton,8.1
T3A,St. Vincent De Paul,8.3
T3A,Terre des Jeunes,6.1
T3A,Varsity Acres,7.7
T3A,West Dalhousie,7.3
T3B,Belvedere Parkway,5.3
T3B,Bowcroft,6.9
T3B,Chinook Winds Adventist,7.7
T3B,Our Lady of the Assumption,6.6
T3B,River Valley,8.7
T3B,Silver Springs,7.4
T3B,St. Sylvester,7
T3B,Terrace Road,3.5
T3B,W. O. Mitchell,6.4
