FSA,School,Rating
T2P,Chestermere,6.1
T3M,,
T3N,,
T3R,Bearspaw Christian,9.2
T1Y,Lester B. Pearson,5.1
T2E,Heritage Christian,6.9
T2H,Lord Beaverbrook,6
T2H,West Island College,9.3
T2K,James Fowler,3.7
T2K,John G Diefenbaker,7.3
T2L,Sir Winston Churchill,8.4
T2L,St. Francis,7.7
T2N,Foothills,5.3
T2N,Queen Elizabeth,6.8
T2N,Westmount,9
T2R,,
T2T,Master's College,9
T2T,Rundle College Academy,7.6
T2W,Dr. E. P. Scarlett,8
T2X,Centennial,7.4
T2Y,Bishop O'Byrne,7.1
T3C,,
T3E,Bishop Carroll,7.5
T3E,Calgary Christian,8.4
T3E,Central Memorial,5
T3L,,
T3P,,
T2M,Crescent Heights,6.4
T2M,La Rose Sauvage,5.7
T2M,William Aberhart,8.2
T2S,St. Mary's,7.1
T2S,Western Canada,8.5
T2V,Bishop Grandin,6.3
T2V,Henry Wise Wood,7.1
T3J,Bishop McNally,6.2
T3J,Nelson Mandela,5.6
T2C,,
T2G,,
T2Z,,
T3G,Robert Thirsk,5.9
T3H,Calgary Academy,6.3
T3H,Calgary Academy Collegiate,8.3
T3H,Calgary French & International,10
T3H,Ernest Manning,8.4
T3H,Rundle College,9.9
T3H,Webber,10
T3K,Notre Dame,6.9
T3S,,
T2J,,
T2A,Father Lacombe,5.7
T2A,Forest Lawn,3.7
T2B,,
T3A,,
T3B,Bowness,6.2
T3B,Foundations for the Future (FFCA),9.3
T3B,National Sport,7.2
